Name	SMILES
CID24776276	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](NC(=O)c2ccc(C)cc2)[C@H]1O
CID24776277	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1OS(=O)(=O)O
CID24827330	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](NC(=O)c2ccc(C)cc2)[C@H]1OC(=O)c1ccccc1
CID25147695	COc1cccc(C(=O)O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]3O[C@H](CO)[C@H](O)[C@H](OC(=O)c4cccc(OC)c4)[C@H]3O)[C@@H]2O)c1
CID25147708	O=C(O[C@H]1[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](OC(=O)c3cccc4ccccc34)[C@H]2O)[C@@H]1O)c1cccc2ccccc12
CID25179327	Cc1ccc(C(=O)O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]3O[C@H](CO)[C@H](O)[C@H](OC(=O)c4ccc(C)cc4)[C@H]3O)[C@@H]2O)cc1
CID25179518	O=C(O[C@H]1[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](OC(=O)c3ccc4ccccc4c3)[C@H]2O)[C@@H]1O)c1ccc2ccccc2c1
CID25179521	O=C(O[C@H]1[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](OC(=O)c3ccccc3)[C@H]2O)[C@@H]1O)c1ccccc1
CID44409180	O=S(=O)(c1ccc2ccccc2c1)[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
CID44561021	CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OC(=O)c2ccc(C)cc2)[C@@H]1OC(C)=O
CID44561585	CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OC(=O)c2ccc(C)cc2)[C@@H]1O
CID44561586	CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OC(=O)c2ccc(C)cc2)[C@@H]1OC(=O)c1ccc(C)cc1
CID44586822	O=C(N[C@@H]1[C@H](O)[C@H](CO)O[C@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](NC(=O)c3ccc([N+](=O)[O-])cc3)[C@H]2O)[C@H]1O)c1ccc([N+](=O)[O-])cc1
CID44588155	O=C(N[C@H]1[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](NC(=O)c3ccc4ccccc4c3)[C@H]2O)[C@@H]1O)c1ccc2ccccc2c1
CID44588156	CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](NC(=O)c3cccc4ccccc34)[C@H]2O)[C@H](O)[C@H]1NC(C)=O
CID44588157	CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1OC(=O)c1cccc2ccccc12
CID46905593	CC1=CC=C(C=C1)C(=O)N[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O[P+](=O)O)SC)CO)O
CID49797472	CCN(CC)CC.CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OC(=O)c2ccc(C)cc2)[C@@H]1OS(=O)(=O)O
CID49797473	CCN(CC)CC.CC1=CC=C(C=C1)C(=O)O[C@H]2[C@H]([C@H](O[C@H]([C@H]2O[P+](=O)O)OC)CO)O
CID49797475	CCN(CC)CC.CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OC(=O)c2ccc(C)cc2)[C@@H]1OP(=O)(O)OCc1ccc(C)cc1
CID49797477	CCN(CC)CC.CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OC(=O)c2ccc(C)cc2)[C@@H]1OP(=O)(O)OC
CID52918117	CC(=O)N[C@H]1[C@@H](OCCCCCCCCCCCCS)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H]1O
CID52941210	O=C(NCc1ccccc1)c1cn([C@H]2[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]3O[C@H](CO)[C@H](O)[C@H](n4cc(C(=O)NCc5ccccc5)nn4)[C@H]3O)[C@@H]2O)nn1
CID52941211	COCCNC(=O)c1cn([C@H]2[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]3O[C@H](CO)[C@H](O)[C@H](n4cc(C(=O)NCCOC)nn4)[C@H]3O)[C@@H]2O)nn1
CID52941275	CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](NC(=O)c3ccc4ccccc4c3)[C@H]2O)[C@H](O)[C@H]1NC(C)=O
CID52942790	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2nnc(C(N)=O)c2N)[C@H]1O
CID52942811	COc1cc(OC)cc(C(=O)N[C@@H]2[C@@H](O)[C@@H](S[C@@H]3O[C@H](CO)[C@H](O)[C@H](NC(=O)c4cc(OC)cc(OC)c4)[C@H]3O)O[C@H](CO)[C@@H]2O)c1
CID52943610	CCCCNC(=O)c1cn([C@H]2[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]3O[C@H](CO)[C@H](O)[C@H](n4cc(C(=O)NCCCC)nn4)[C@H]3O)[C@@H]2O)nn1
CID52943977	C=CCNC(=O)c1cn([C@H]2[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]3O[C@H](CO)[C@H](O)[C@H](n4cc(C(=O)NCC=C)nn4)[C@H]3O)[C@@H]2O)nn1
